farm_name,year,peak_ndvi,peak_day,season_duration,avg_ndwi_stress,seasonal_integral,ndvi_std_dev,performance_cluster,performance_score
alia almadinah,2021,0.0574399826620956,56,35,-0.21691414230812645,2.16638838761023,0.00809887245267428,1,Standard Tier
alia almadinah,2022,0.6039136216114637,336,280,-0.45473362283448887,20.201768286090328,0.19813155269010516,0,Premium Tier
alia almadinah,2023,0.5260878464447611,336,330,-0.34286243325620464,15.241108739428267,0.17146979357254008,0,Premium Tier
alia almadinah,2024,0.5042350390226574,316,260,-0.3479774356138936,16.672557607172884,0.16210980020397237,0,Premium Tier
alia almadinah,2025,0.0700485361857777,105,95,-0.21691414230812645,2.6297077138787737,0.017678634696033823,1,Standard Tier
almarbad,2018,0.065852209829565,352,205,-0.21691414230812645,0.3204431914029189,0.017994967303735086,2,Economy Tier
almarbad,2019,0.0819260368313969,17,5,-0.1366011875528909,2.66289475082236,0.016792657065226316,1,Standard Tier
almarbad,2020,0.0805343071553013,7,5,-0.21691414230812645,2.3955949108626053,0.019307192991513747,1,Standard Tier
almarbad,2021,0.0574399826620956,56,35,-0.21691414230812645,2.16638838761023,0.00809887245267428,1,Standard Tier
almarbad,2022,0.5808908617644104,246,190,-0.5119488429012296,21.209533216903136,0.20900939380558162,0,Premium Tier
almarbad,2023,0.4673080564203987,336,330,-0.31326829609513573,13.522641777956093,0.1451926479757083,0,Premium Tier
almarbad,2024,0.4571748563582491,316,260,-0.3269964929184513,15.611025174072182,0.1484833441146477,0,Premium Tier
almarbad,2025,0.0700485361857777,105,95,-0.21691414230812645,2.6297077138787737,0.017678634696033823,1,Standard Tier
alosba,2018,0.065852209829565,352,205,-0.21691414230812645,0.3204431914029189,0.017994967303735086,2,Economy Tier
alosba,2019,0.0819260368313969,17,5,-0.1366011875528909,2.66289475082236,0.016792657065226316,1,Standard Tier
alosba,2020,0.0805343071553013,7,5,-0.21691414230812645,2.3955949108626053,0.019307192991513747,1,Standard Tier
alosba,2021,0.0574399826620956,56,35,-0.21691414230812645,2.16638838761023,0.00809887245267428,1,Standard Tier
alosba,2022,0.6936836943654965,336,280,-0.5267677355207777,23.07472627197486,0.23388759682192217,0,Premium Tier
alosba,2023,0.5400960503777212,336,330,-0.3870210385203603,16.12813073256526,0.18444378756981974,0,Premium Tier
alosba,2024,0.5926023510761707,316,260,-0.4073026749847246,19.010981707278084,0.19345465995823702,0,Premium Tier
alosba,2025,0.0700485361857777,105,95,-0.21691414230812645,2.6297077138787737,0.017678634696033823,1,Standard Tier
wahaa 2,2018,0.065852209829565,352,205,-0.21691414230812645,0.3204431914029189,0.017994967303735086,2,Economy Tier
wahaa 2,2019,0.0819260368313969,17,5,-0.1366011875528909,2.66289475082236,0.016792657065226316,1,Standard Tier
wahaa 2,2020,0.0805343071553013,7,5,-0.21691414230812645,2.3955949108626053,0.019307192991513747,1,Standard Tier
wahaa 2,2021,0.0574399826620956,56,35,-0.21691414230812645,2.16638838761023,0.00809887245267428,1,Standard Tier
